序号,题名,作者,关键词,摘要,DOI,CN,作者单位,刊名,ISSN,页码,核心类型,中图分类号
280,数字赋能传统村落文化空间的转型与活化机制研究——以吉安钓源村为例,"白丹, 喻晓社, 游琪","传统村落, ""媒介化场所"", 文化空间, 数字赋能, 转型与活化, 钓源村","传统村落文化空间是中华优秀传统文化存续的重要载体.数字赋能作为其现代转型与创新活化的核心动力,在技术演进与文化变迁的交互作用下,为文化空间的重塑开辟了新路径.基于媒介化、空间生产和场所理论,以吉安钓源古村为例,探究数字赋能传统村落文化空间转型与活化机制.研究发现:(1)文化空间转型与活化经历了从""数字化嵌入""到""媒介化融合""的演进,最终构建了一个虚实融合、去中心化生产与多元协同的""媒介化场所"".(2)钓源村文化空间转型与活化的演进过程遵循渐进式演进、系统性重构、协同性治理的内在逻辑.(3)""媒介化场所""的再生成是在政策、技术、市场、文化的四重驱动协同机制下完成.本文为理解数字时代传统村落文化空间转型与活化提供了新的理论框架,对文化传承与村落可持续发展具有重要指导意义.",10.31497/zrzyxb.20260407,11-1912/N,南昌大学," 自然资源学报,Journal of Natural Resources,2026,41(4)",1000-3037,1084-1100,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G206(信息与传播理论);TU982.29(区域规划、城乡规划);G641(高等教育)
281,基于区块链可信大数据人工智能的 金融安全情报分析,"丁晓蔚, 苏新宁","情报分析, 区块链, 可信大数据, 可信人工智能, 金融安全, 金融风险","金融安全是国家安全的重要构成部分.2008年的金融危机危及全球,至今仍是金融安全方面极具价值的研究样本.此次金融危机的原因很多,本文从情报分析视角进行反思.从数据和信息角度看,数据不完整、不完善、不准确、支离破碎、不可信、不充分是危机的因由之一;""数据孤岛""""信息孤岛""则妨碍了金融风险情报分析和金融危机预警,从一个方面助长了危机;从模型和方法角度看,数据质量影响模型质量(GIGO,垃圾进、垃圾出).人类智慧和机器智能没能高效融合也是无力预警风险和抵制危机的重要原因之一.今天,区块链、大数据、人工智能+情报分析为金融风险防控提供了新思路.本文呼吁构建新型金融信息基础设施架构,在此基础上进一步提出了基于区块链的可信大数据和可信人工智能的理念,提出了新型金融(大数据)情报分析的理念.基于新型金融信息基础设施架构,基于可信大数据和可信人工智能新型情报分析,人类有望在防控金融风险、预警金融危机和维护金融安全等方面做得更好.",10.3772/j.issn.1000-0135.2019.12.007,11-2257/G3,南京大学," 情报学报,Journal of the China Society for Scientific andTechnical Information,2019,38(12)",1000-0135,1297-1309,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论);F49(信息产业经济);X91(安全科学基础理论)
282,自然灾害事件微博热点话题的时空对比分析,"李纲, 陈思菁, 毛进, 谷岩松","时空分析, 社交媒体, 突发事件, 话题识别, 话题演化, 态势感知","[目的]对受灾地区用户和非受灾地区用户在灾难不同时期的热点话题进行分析,揭示和比较两类用户在宏观层面和微观层面的话题演化规律.[方法]本文结合地理标签和个人信息描述对受灾地区用户和非受灾地区用户进行自动划分;提出一种基于主题词共现和社区发现的微博热点话题识别、测度和演化分析框架;利用冲积图构建热点话题演化图谱;基于态势感知理论,比较两类用户在宏观层面和微观层面的热点话题演化规律.[结果]灾难爆发时,受灾用户主要发布物理环境类话题,而非受灾用户倾向于情感的表达;灾难过后,受灾用户主要发布情感类话题,而非受灾用户则更倾向发布建设环境和物理环境类话题.[局限]以用户个人信息描述判断其所属地区的方法较粗糙;话题强度的测量有进一步优化的空间.[结论]受灾用户和非受灾用户在不同时间阶段表现出不同的话题关注倾向,灾害管理部门可以利用这种差异更高效地从社交媒体数据中识别受灾人群及其需求,从而及时采取响应措施.",10.11925/infotech.2096-3467.2019.0249,10-1478/G2,武汉大学," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2019,3(11)",2096-3467,1-15,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论)
283,时空数据建模方法研究综述,"李旭晖, 刘洋","时空数据模型, 物理层, 逻辑层, 应用层","[目的]总结时空数据建模方法,以期为时空知识的组织和管理研究提供理论基础.[文献范围]在百度学术、谷歌学术、EI、CNKI中分别以检索式“时空数据模型”、“spatio-temporal data model”在限定时间范围、期刊类型内进行文献检索,获得部分相关文献,根据研究主题相关程度筛选最终获得64篇相关文献.[方法]根据建模对象的抽象层次对时空数据模型进行分类,分别从物理层、逻辑层和应用层三个层次对时空数据模型的相关研究进行综述.[结果]近年来物理层对时空数据模型的研究主要侧重于对以往模型的修正,应用层的时空数据模型集中于满足各领域具体需求,而逻辑层的研究在表达能力方面有待改进.[局限]不同层次的时空数据模型横向对比研究较少.[结论]未来大规模的时空信息管理和利用,将为时空数据建模的深入发展提供广阔的空间.",10.11925/infotech.2096-3467.2018.0321,10-1478/G2,武汉大学," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2019,3(3)",2096-3467,1-13,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论)
284,国内外健康问答社区用户信息需求对比研究——基于主题和时间视角的实证分析,"石静, 厉臣璐, 钱宇星, 周利琴, 张斌","健康问答社区, 用户需求, 内容分析, 共现网络","[目的]识别并对比分析国内外健康问答社区用户信息需求,总结演变规律和探究演变原因.[方法]选取“慢友帮”和“DailyStrength”糖尿病群组用户问答数据,基于主题和时间视角,利用主题编码、社会网络和内容分析方法,对比分析主题分布、演化及共现规律.[结果]国内外社区用户核心需求都是“疾病如何治疗”;且对于慢性病社区而言,“饮食”主题与其共现主题关系很密切.[局限]尚未将问答相关程度纳入分析框架,对主题演变及内容研究不够深入.[结论]国内社区处于发展期,国外社区处于稳定期;国内社区具有“问答属性”,而国外社区兼具“问答属性”和“社交属性”.",10.11925/infotech.2096-3467.2018.0813,10-1478/G2,"武汉大学, 武汉大学"," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2019,3(5)",2096-3467,1-10,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论);R587.1(内分泌腺疾病及代谢病)
285,微信群会话话题强度计算及演化分析,"汪鸿沁泠, 巴志超, 李纲","微信群, 会话分析, 话题演化, 话题强度","[目的]通过探究实际微信群内部的话题结构及演化特征,对微信用户交互行为特点及信息传播规律进行探讨.[方法]以三个典型性微信群对话样本作为研究对象,引入语言学中的会话分析理论,分析微信群会话语言现象及特点,设计基于成员活跃度、交流强度及话轮密度的话题强度计算模型,并进一步探究不同类型的微信群中会话的话题结构特征及演化规律.[结果]微信群会话与日常会话的语言现象具有同一性及差异性,将话轮纳入话题强度计算模型较消息条数有明显优势,不同类型的微信群享有各自的话题演化规律.[局限]微信群类型丰富性可以进一步增加.[结论]本研究有利于把握话题在微信群中的发展规律,对网络舆情监控及灾害防治有重要意义.",10.11925/infotech.2096-3467.2018.0552,10-1478/G2,武汉大学," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2019,3(2)",2096-3467,33-42,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论)
286,用户隐式行为挖掘在抗信誉共谋中的应用研究,"梁家铭, 赵洁, Jianlong Zhou, 董振宁","隐式行为, 特征选择, 信誉共谋, 攻击识别","[目的]探究和验证用户隐式行为数据的挖掘方法及结果对信誉共谋攻击识别模型精度提升的效果.[方法]提出用户融合隐式行为分析的总体框架,提取隐式行为特征;设计两阶段综合特征选择方法,选择多个高辨别力的特征.[结果]利用电子商务中的大量数据实验验证了用户隐式行为挖掘在抗信誉共谋中的有效性,对共谋者的识别能力优于显式特征.[局限]攻击者和合法用户隐式数据规模仍需要进一步扩大.[结论]融入用户隐式行为挖掘可较大幅度提升信誉共谋识别模型的精度.",10.11925/infotech.2096-3467.2018.0665,10-1478/G2,"广东工业大学, 悉尼科技大学"," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2019,3(5)",2096-3467,125-138,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G202(信息与传播理论)
287,基于深度学习的领域情感词典自动构建——以金融领域为例,"胡家珩, 岑咏华, 吴承尧","情感词典, 深度学习, 金融领域, 词向量, 神经网络","[目的]为特定领域情感分析任务构建一个适用的情感词典.[方法]以金融领域为例,结合语料库和知识库的特点,提出一种全新的构建情感词典的方法:利用词向量方法将文本信息映射到向量空间,借助已有的通用情感词典,自动标引训练语料,按照9:1的比例构建训练集和预测集.使用Python构建深度神经网络分类器,判断特定领域候选情感词的情感极性,构成情感词典.[结果]本文构建的神经网络分类器的训练集准确度为95.02％,预测集准确度为95.00％,同时证明了利用本文方法所构建的情感词典在金融领域中的表现优于其他已有方法.[局限]抽取种子词的方法需要进一步优化.[结论]本文方法解决了训练神经网络分类器中训练语料不足的问题,同时解决了词向量的语义相关性无法区分情感信息的问题.在构建面向特定领域情感词典上具有较好的表现,为该领域其他研究提供参考依据.",10.11925/infotech.2096-3467.2018.0169,10-1478/G2,"南京理工大学, 南京农业大学"," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2018,2(10)",2096-3467,95-102,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G202(信息与传播理论);F832.5(金融、银行)
288,共享短租平台商家属性对消费者网络口碑的影响研究,"梁晓蓓, 徐真, 李晶晶","共享短租平台, 商家属性, 网络口碑","[目的]深入探讨共享短租平台的线上商家属性对网络口碑(eWOM)的影响机制.[方法]以信号理论为基础,基于共享短租平台Airbnb的Python爬虫数据信息,建立泊松回归模型,研究与电子服务质量相关的线上商家属性对消费者eWOM行为的影响.[结果]研究结果表明,商家的特色介绍、售后互动、即时预订、日历更新、回复时间、优质商家、身份认证显著正向影响房源的eWOM.[局限]仅选取北京地区的Airbnb样本,结果欠缺普适性.[结论]本研究结果对于提升共享短租在线商家的网络口碑具有借鉴意义.",10.11925/infotech.2096-3467.2018.0836,10-1478/G2,同济大学," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2018,2(11)",2096-3467,46-53,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论)
289,情绪与金融稳定的互动关系:基于模式因果算法的检验,"肖争艳, 程硕","情绪, 金融稳定, 模式因果算法","研究并厘清不同类型的情绪与金融稳定的关系,对于指导预期管理和防范系统性风险意义重大.本文应用模式因果算法检验并比较了投资者情绪、社群情绪和媒体情绪三类情绪与金融稳定之间的互动关系,进一步探讨了危机时期三类情绪之间的因果变化.结果表明:第一,情绪与金融稳定之间的因果关系具有显著的时变特性,这种动态关系通常表现为悲观情绪与金融稳定下降的互动.相较而言,投资者情绪对金融稳定的影响时间最久,社群情绪次之,媒体情绪最短;反过来,金融稳定对媒体情绪影响最久,社群情绪其次,投资者情绪最短.第二,不同危机时期三类情绪与金融稳定之间的相互作用和因果关系存在显著差异.投资者情绪和社群情绪既是危机时期金融稳定较早的""预测信号"",也是金融稳定最主要的""反应指标"",它们在危机时期均显示出关键的传导作用.第三,情绪信息的加入显著提高了模型对金融稳定的预测准确性,这表明情绪指标对金融稳定具有重要的预测作用.因此,建议金融监管部门充分利用情绪信息工具,提升市场实时监测能力,并制定针对不同情绪类型的应对策略,以稳定金融市场.",,43-1115/N,"中国人民大学, 中国人民大学"," 系统工程,Systems Engineering,2025,43(6)",1001-4098,128-145,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",F832(金融、银行);F272(企业经济);G206(信息与传播理论)
290,基于遗传算法的信息系统安全技术方案,"陈光, 匡兴华","信息系统, 安全技术方案, 遗传算法, 脆弱性","组织如何制定优化的信息安全技术方案以降低脆弱性对其信息系统的威胁,是信息安全管理领域的关键问题.在描述信息系统安全技术方案决策模型的基础上,提出了一种求解信息系统安全技术方案优化问题的自适应遗传算法,使得组织能以最少的方案实施费用最大限度地处置脆弱性,并以实例说明了该算法的有效性.",10.3969/j.issn.1001-2486.2005.06.027,43-1067/T,中国人民解放军国防科技大学," 国防科技大学学报,JOURNAL OF NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY,2005,27(6)",1001-2486,130-134,"CSTPCD, 北大核心, EI, AMI, CSCD",TP309(计算技术、计算机技术);G203(信息与传播理论)
291,DRL-based federated self-supervised learning for task offloading and resource allocation in ISAC-enabled vehicle edge computing,"Xueying Gu, Qiong Wu, Pingyi Fan, Nan Cheng, Wen Chen, Khaled B.Letaief",,"Intelligent Transportation Systems(ITS)leverage Integrated Sensing and Communications(ISAC)to enhance data exchange between vehicles and infrastructure in the Internet of Vehicles(IoV).This integration inevitably increases computing demands,risking real-time system stability.Vehicle Edge Computing(VEC)addresses this by offloading tasks to Road Side Units(RSUs),ensuring timely services.Our previous work,the FLSimCo algorithm,which uses local resources for federated Self-Supervised Learning(SSL),has a limitation:vehicles often can't complete all iteration tasks.Our improved algorithm offloads partial tasks to RSUs and optimizes energy consumption by adjusting transmission power,CPU frequency,and task assignment ratios,balancing local and RSU-based training.Meanwhile,setting an offloading threshold further prevents inefficiencies.Simulation results show that the enhanced algorithm reduces energy consumption and improves offloading efficiency and accuracy of federated SSL.",10.1016/j.dcan.2024.12.009,50-1212/TN,上海交通大学," 数字通信与网络（英文版）,Digital Communications and Networks,2025,11(5)",2468-5925,1614-1627,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);R338.1(人体生理学);G43(电化教育)
292,A dynamic spectrum and power allocation method for co-located pulse radar and communication system coexistence,"Youwei MENG, Yaoyao LI, Shaoxiong CAI, Donglin SU",,"Airborne pulse radar and communication systems are essential for precise detection and collision avoidance,ensuring that aircraft operate safely and efficiently.A major challenge in spec-trum sharing is the allocation of resources in both the time and frequency domains,aiming to min-imize inter-system interference as the available spectrum fluctuates over time.In this paper,regarding maximization of detection probability and spectrum utilization efficiency as two funda-mental objectives,a novel Dynamic Spectrum and Power Allocation based on Genetic Algorithm(GA-DSPA)model is proposed,which dynamically allocates communication channel frequency and power under the constraints of pulse radar detection probability and signal-to-interference-plus-noise ratio of communication.To solve this bi-objective model,a non-dominated sorting-based multi-objective genetic algorithm is developed.A novel environment perception strategy and offspring sorting technique based on radar echoes are integrated into the optimization frame-work.Simulation results indicate that by integrating environmental monitoring mechanisms and dynamic adaptation strategies,the proposed method effectively tracks the evolving Pareto-optimal Fronts(PoFs),thereby ensuring optimal performance for both co-located pulse radar and communication systems.Hardware test results confirm that within the GA-DSPA framework,the pulse radar achieves higher detection probabilities under identical conditions,while the commu-nication system realizes increased average throughput.",10.1016/j.cja.2025.103417,11-1732/V,北航大学电子与信息工程学院," 中国航空学报（英文版）,Chinese Journal of Aeronautics,2025,38(4)",1000-9361,501-512,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);F270(企业经济);TP311.52(计算技术、计算机技术)
293,Mutual annihilation of counter-rotating spiral waves induced by electric fields,"刘瑛琦, 胡义鹏, 丁钱铭, 谢盈, 贾亚",,"Spiral waves,as a typical self-organized structure with chiral characteristics,are widely found in excitable media such as cardiac tissues,chemical reactions,and neural networks.Based on the FitzHugh-Nagumo model,we investigated the mechanisms underlying the effects of direct current electric fields(DCEF),alternating current electric fields(ACEF),and polarized electric fields(PEF)on the interaction and annihilation processes of counter-rotating spiral waves.We found that in a direct current electric field,the drift direction of the spiral wave is determined jointly by its chirality and the electric field direction,which allows selective attraction or repulsion.In an alternating current electric field,the annihilation behavior of spiral waves can be influenced by the phase and intensity of the electric field,where a specific range of parameters induces resonance drift and eventual annihilation.On the other hand,the polarized electric field exhibits a more complex modulation capability on spiral waves:the trajectory and annihilation efficiency of spiral waves can be regulated by both the intensity and phase of the polarized electric field.These results reveal the potential feasibility of regulating multichiral spiral waves through multiple electric fields,providing theoretical insight for the control of spiral waves in relevant systems.",10.1088/1674-1056/ae0561,11-5639/O4,," 中国物理B（英文版）,Chinese Physics　B,2025,34(12)",1674-1056,49-64,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);TS205.9(食品工业);TP391(计算技术、计算机技术)
294,Accuracy allocation method for five-axis machine tools based on geometric error cost sensitivity prioritizing tool direction deviation,"Xiaojian LIU, Ao JIAO, Yang WANG, Guodong YI, Xiangyu GAO, Xiaochen ZHANG, Yiming ZHANG, Yangjian JI, Shuyou ZHANG, Jianrong TAN",,"Accuracy allocation is crucial in the accuracy design of machining tools.Current accuracy allocation methods primarily focus on positional deviation,with little consideration for tool direction deviation.To address this issue,we propose a geometric error cost sensitivity-based accuracy allocation method for five-axis machine tools.A geometric error model consisting of 41 error components is constructed based on homogeneous transformation matrices.Volumetric points with positional and tool direction deviations are randomly sampled to evaluate the accuracy of the machine tool.The sensitivity of each error component at these sampling points is analyzed using the Sobol method.To balance the needs of geometric precision and manufacturing cost,a geometric error cost sensitivity function is developed to estimate the required cost.By allocating error components affecting tool direction deviation first and the remaining components second,this allocation scheme ensures that both deviations meet the requirements.We also perform numerical simulation of a BC-type(B-axis and C-axis type)five-axis machine tool to validate the method.The results show that the new allocation scheme reduces the total geometric error cost by 27.8%compared to a uniform allocation scheme,and yields the same positional and tool direction machining accuracies.",10.1631/jzus.A2400287,33-1236/O4,"浙江大学, 伦敦大学, 浙江大学"," 浙江大学学报（英文版）（A辑：应用物理和工程）,Journal of Zhejiang University Science A：Applied Physics & Engineering,2025,26(7)",1673-565X,"635-651,中插1-中插2","CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);F224(经济计算、经济数学方法);TH122(机械设计、计算与制图)
295,EdgeAIGC:Model caching and resource allocation for edge artificial intelligence generated content,"Wu Wen, Yibin Huang, Xinxin Zhao, Peiying Zhang, Kai Liu, Guowei Shi",,"With the rapid development of generative artificial intelligence technology,the traditional cloud-based centralized model training and inference face significant limitations due to high transmission latency and costs,which restrict user-side in-situ Artificial Intelligence Generated Content(AIGC)service requests.To this end,we propose the Edge Artificial Intelligence Generated Content(EdgeAIGC)framework,which can effectively address the challenges of cloud computing by implementing in-situ processing of services close to the data source through edge computing.However,AIGC models usually have a large parameter scale and complex computing requirements,which poses a huge challenge to the storage and computing resources of edge devices.This paper focuses on the edge intelligence model caching and resource allocation problems in the EdgeAIGC framework,aiming to improve the cache hit rate and resource utilization of edge devices for models by optimizing the model caching strategy and resource allocation scheme,and realize in-situ AIGC service processing.With the optimization objectives of minimizing service request response time and execution cost in resource-constrained environments,we employ the Twin Delayed Deep Deterministic Policy Gradient algorithm for optimization.Experimental results show that,compared with other methods,our model caching and resource allocation strategies can effectively improve the cache hit rate by at least 41.06%and reduce the response cost as well.",10.1016/j.dcan.2025.07.003,50-1212/TN,"广州大学, 中国信息通信技术研究院"," 数字通信与网络（英文版）,Digital Communications and Networks,2025,11(6)",2468-5925,1941-1950,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);G350(科学、科学研究);TP311.52(计算技术、计算机技术)
296,"Effects of information and policy regulation on green behavior propagation in multilayer networks:Modeling,analysis,and optimal allocation","孙先莉, 张玲华",,"As the economy grows,environmental issues are becoming increasingly severe,making the promotion of green be-havior more urgent.Information dissemination and policy regulation play crucial roles in influencing and amplifying the spread of green behavior across society.To this end,a novel three-layer model in multilayer networks is proposed.In the novel model,the information layer describes green information spreading,the physical contact layer depicts green behavior propagation,and policy regulation is symbolized by an isolated node beneath the two layers.Then,we deduce the green behavior threshold for the three-layer model using the microscopic Markov chain approach.Moreover,subject to some individuals who are more likely to influence others or become green nodes and the limitations of the capacity of policy regulation,an optimal scheme is given that could optimize policy interventions to most effectively prompt green behavior.Subsequently,simulations are performed to validate the preciseness and theoretical results of the new model.It reveals that policy regulation can prompt the prevalence and outbreak of green behavior.Then,the green behavior is more likely to spread and be prevalent in the SF network than in the ER network.Additionally,optimal allocation is highly successful in facilitating the dissemination of green behavior.In practice,the optimal allocation strategy could prioritize interventions at critical nodes or regions,such as highly connected urban areas,where the impact of green behavior promotion would be most significant.",10.1088/1674-1056/adbedf,11-5639/O4,," 中国物理B（英文版）,Chinese Physics　B,2025,34(6)",1674-1056,634-646,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);TP393(计算技术、计算机技术);R531.3(寄生虫病)
297,An efficient downlink resource allocation scheme in power-limited GEO satellite systems,"Xin Tong, Nanxi Li, Jiaxiang Liu, Shuo Peng",,"The integration of Geostationary Earth Orbit(GEO)satellite constellations into Sixth Generation(6G)framework for cellular networks is essential to achieve global connectivity.Despite the major importance of this integration,current research often underestimates the limitations imposed by available satellite payload power,erroneously assuming a uniform maximum power density distribution across all communication beams.In this paper,we propose an Efficient Downlink Resource Allocation scheme(EDRA)that accounts for transmitting power resource limitations,variable service quality demands,and a heterogeneous number of users.Our approach relies on the thorough analysis of real-world demographic data,allowing us to optimize the allocation of downlink power and time-frequency resources in a practical and effective manner.Furthermore,we introduce an optimization model to maximize the total system revenue,using an iterative algorithm specifically designed to solve complex optimization problems.Numerical simulations demonstrated that the EDRA scheme improved the average network revenue by more than 66%relatively to standard methods,with performance gains increasingly large for an increasing diversity of service types,establishing the robustness and adaptability of the proposed EDRA scheme in the rapidly-evolving context of satellite-based communication systems.",10.1016/j.dcan.2025.05.007,50-1212/TN,China Telecom Research Institute," 数字通信与网络（英文版）,Digital Communications and Networks,2025,11(6)",2468-5925,1751-1761,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);TP31(计算技术、计算机技术);S968.326.9(水产养殖技术)
298,Secure and energy-efficient UAV-assisted maritime communication under multiple eavesdroppers with imperfect CSI and collusion,"Fang MEI, Yuqing LIU, Shuo GAO, Jiahui LI, Hui KANG, Sujin HOU, Geng SUN",,"The maritime communication networks(MCNs)for industry require reliable,efficient,and wide coverage to deploy emerging intelligent marine applications.To this end,unmanned aerial vehi-cles(UAVs)can be integrated into MCNs to extend flexibility and mobility.However,harsh maritime environments and open line-of-sight(LoS)links increase the UAV onboard energy consumption and worsen communication security.In this work,we aim to propose a collaborative beamforming-based physical layer secure and energy-efficient communication method for UAV-assisted MCNs,in which the energy limitations of UAVs and the interference from both known and unknown eavesdroppers as well as the possible collusion among eavesdroppers are considered.Specifically,we formulate a multi-objective optimization problem(MOP)to improve the system confidentiality rate,reduce the level ratio of the UAV virtual antenna array,and decrease the energy consumption of the UAVs by jointly optimizing the UAV positions and synthesizing the UAV virtual antenna array.This MOP is non-convex and NP-hard,and thus we propose an enhanced non-dominated sorted whale optimization algorithm(ENSWOA)to solve the problem.In ENSWOA,the introduced chaotic solution initializa-tion,adaptive weighting,and optimal position updating methods can increase the searching capability of the algorithm.Simulation results show that the proposed ENSWOA outperforms the baseline algo-rithms,and can effectively enhance the security and energy efficiency of the considered system.",10.1016/j.cja.2025.103477,11-1732/V,"吉林大学, 吉林大学"," 中国航空学报（英文版）,Chinese Journal of Aeronautics,2025,38(10)",1000-9361,170-184,"CSTPCD, EI, SCI, CSCD",G206(信息与传播理论);F276.7(企业经济);TP311.52(计算技术、计算机技术)
299,Genetic-algorithm-based approaches for enhancing fairness and efficiency in dynamic airport slot allocation,"Ruoshi YANG, Zhiqiang FENG, Meilong LE, Hongyan ZHANG, Ji MA",,"Airports around the world commonly face challenges in managing airport slot allocation.Effective management of limited slot resources by civil aviation authority often requires redistributing requested slots among airlines.The allocation process must operate within the prescribed capacity limits of the airport while adhering to established priorities and regulations.Additionally,ensuring market fairness is a key objective,as the value of airport slots plays a significant role in the adjustment process.This transforms the traditional time-shift-based problem into a complex multi-objective opti-mization problem.Addressing such complications is of significant importance to airlines,airports,and passengers alike.Due to the complexity of fairness metrics,traditional integer programming models encounter difficulties in finding effective solutions.This study proposes a neighborhood search strategy to tackle the single airport slot allocation,making it adaptable to both static and rolling capacity scenarios.Two Genetic Algorithms(GAs)are introduced,corresponding to time adjustment and sequence adjustment strategies,respectively.The GA based on the time adjustment strategy demonstrates high robustness,while the sequence adjustment strategy builds upon this GA to develop a simple heuristic algorithm that offers rapid convergence.Case studies conducted at seven airports in China confirm that all three algorithms yield high-quality adjustment solutions suitable for the major-ity of applications.Further,Pareto analysis reveals that these algorithms effectively balance the adjustment shifts and fairness metrics,demonstrating high practical value and broad applicability.",10.1016/j.cja.2025.103634,11-1732/V,"南京航空航天大学, 海南师范大学"," 中国航空学报（英文版）,Chinese Journal of Aeronautics,2025,38(8)",1000-9361,542-562,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);S(农业科学);TP391.41(计算技术、计算机技术)
300,Cybertwin driven resource allocation using optimized proximal policy based federated learning in 6G enabled edge environment,"Sowmya Madhavan, M.G.Aruna, G.P.Ramesh, Abdul Lateef Haroon Phulara Shaik, Dhulipalla Ramya Krishna",,"Sixth-generation(6G)communication system promises unprecedented data density and transformative applica-tions over different industries.However,managing heterogeneous data with different distributions in 6G-enabled multi-access edge cloud networks presents challenges for efficient Machine Learning(ML)training and aggrega-tion,often leading to increased energy consumption and reduced model generalization.To solve this problem,this research proposes a Weighted Proximal Policy-based Federated Learning approach integrated with ResNet50 and Scaled Exponential Linear Unit activation function(WPPFL-RS).The proposed method optimizes resource allocation such as CPU and memory,through enhancing the Cyber-twin technology to estimate the computing capacities of edge clouds.The proposed WPPFL-RS approach significantly minimizes the latency and energy con-sumption,solving complex challenges in 6G-enabled edge computing.This makes sure that efficient resource utilization and enhanced performance in heterogeneous edge networks.The proposed WPPFL-RS achieves a min-imum latency of 8.20 s on 100 tasks,a significant improvement over the baseline Deep Reinforcement Learning(DRL),which recorded 11.39 s.This approach highlights its potential to enhance resource utilization and perfor-mance in 6G edge networks.",10.1016/j.dcan.2025.05.015,50-1212/TN,"Department of Electronics and Communication Engineering, Department of Artificial Intelligence and Machine Learning, Department of Electronics and Communication Engineering, Department of Electronics and Communication Engineering, Department of Computer Science and Engineering"," 数字通信与网络（英文版）,Digital Communications and Networks,2025,11(6)",2468-5925,1809-1821,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);S(农业科学);S15(土壤学)
301,Distributed adaptive coalition task allocation based on reachable region online prediction for munition swarm,"Yuze Zhou, Teng Long, Jingliang Sun, Junzhi Li, Jianxin Zhong",,"Task allocation for munition swarms is constrained by reachable region limitations and real-time re-quirements.This paper proposes a reachable region guided distributed coalition formation game(RRG-DCF)method to address these issues.To enable efficient online task allocation,a reachable region prediction strategy based on fully connected neural networks(FCNNs)is developed.This strategy in-tegrates high-fidelity data generated from the golden section method and low-fidelity data from geo-metric approximation in an optimal mixing ratio to form multi-fidelity samples,significantly enhancing prediction accuracy and efficiency under limited high-fidelity samples.These predictions are then incorporated into the coalition formation game framework.A tabu search mechanism guided by the reachable region center directs munitions to execute tasks within their respective reachable regions,mitigating redundant operations on ineffective coalition structures.Furthermore,an adaptive guidance coalition formation strategy optimizes allocation plans by leveraging the hit probabilities of munitions,replacing traditional random coalition formation methods.Simulation results demonstrate that RRG-DCF surpasses the contract network protocol and traditional coalition formation game algorithms in optimality and computational efficiency.Hardware experiments further validate the method's practi-cality in dynamic scenarios.",10.1016/j.dt.2025.07.005,10-1165/TJ,北京工业大学," 防务技术,Defence Technology,2025,53(11)",2096-3459,169-183,"CSTPCD, EI, SCI, CSCD",G202(信息与传播理论);TP393(计算技术、计算机技术);TP18(自动化基础理论)
